Fiscal Year,Total Revenue (USD),Gross Profit (USD),Net Income (USD),Operating Income (USD),Cost of Revenue (USD),Total Assets (USD),Total Liabilities (USD),Total Shareholder Equity (USD),Operating Cash Flow (USD),Capital Expenditures (USD),Cash Flow from Investments (USD)
2024,27176000000.0,12897000000.0,7177000000.0,7867000000.0,16468000000.0,34409000000.0,15408000000.0,19001000000.0,8677000000.0,1190000000.0,-2327000000.0
2023,26274000000.0,12384000000.0,6856000000.0,7654000000.0,16276000000.0,30729000000.0,14380000000.0,16349000000.0,8700000000.0,1106000000.0,-1535000000.0
2022,25590000000.0,11993000000.0,6525000000.0,7788000000.0,15670000000.0,26726000000.0,14532000000.0,12194000000.0,5399000000.0,787000000.0,-1357000000.0
2021,22827000000.0,10914000000.0,5888000000.0,6889000000.0,13929000000.0,25825000000.0,13578000000.0,12247000000.0,5442000000.0,668000000.0,-1216000000.0
2020,16962000000.0,7692000000.0,3619000000.0,4365000000.0,10979000000.0,22353000000.0,11775000000.0,10578000000.0,3804000000.0,422000000.0,-130000000.0
2019,14608000000.0,6386000000.0,2706000000.0,3350000000.0,8222000000.0,19024000000.0,10810000000.0,8214000000.0,3247000000.0,441000000.0,-443000000.0
2018,16705000000.0,7517000000.0,3038000000.0,4491000000.0,9188000000.0,17633000000.0,10788000000.0,6845000000.0,3787000000.0,622000000.0,571000000.0
2017,14698000000.0,6612000000.0,3519000000.0,3936000000.0,8086000000.0,19419000000.0,10070000000.0,9630000000.0,3789000000.0,345000000.0,-2526000000.0
2016,10825000000.0,4511000000.0,1721000000.0,2152000000.0,6314000000.0,14570000000.0,7353000000.0,7413000000.0,2566000000.0,253000000.0,-425000000.0
2015,9666000000.0,3952000000.0,1377000000.0,1693000000.0,6970000000.0,15308000000.0,7695000000.0,7613000000.0,1163000000.0,215000000.0,-281000000.0
2014,9026000000.0,3843000000.0,1072000000.0,1520000000.0,6501000000.0,13174000000.0,5306000000.0,7868000000.0,1800000000.0,241000000.0,-161000000.0
2013,7437000000.0,2991000000.0,256000000.0,432000000.0,5888000000.0,12043000000.0,4955000000.0,7088000000.0,623000000.0,197000000.0,215000000.0
2012,8634000000.0,3313000000.0,109000000.0,411000000.0,7072000000.0,12102000000.0,4867000000.0,7235000000.0,1851000000.0,162000000.0,-4660000000.0
2011,10513000000.0,4360000000.0,1926000000.0,2398000000.0,7274000000.0,13861000000.0,5061000000.0,8800000000.0,2429000000.0,209000000.0,707000000.0
2010,9506687000.0,3715000000.0,938000000.0,1384000000.0,7325953000.0,10943000000.0,3407000000.0,7536000000.0,1723000000.0,169000000.0,-862000000.0
2009,5002534000.0,1431000000.0,-305000000.0,-394000000.0,4764311000.0,9574000000.0,2479635000.0,7094000000.0,333000000.0,249000000.0,112000000.0
